07/25/2019 01:45:48 PM: log file : ./save/log/201907251345-861f1f04.log 
07/25/2019 01:45:48 PM: Namespace(N_turns=6, batch_size=64, d_ff=2048, debug=False, dims=512, dropout=0.1, heads=8, input_file_dir='/home/jaehoon/Git/attention_is_allyouneed/dataset/de-en/train.en', learning_rate=0.0001, model_dir='/home/jaehoon/Git/attention_is_allyouneed/jaehoon/model/', n_epochs=200, output_file_dir='/home/jaehoon/Git/attention_is_allyouneed/dataset/de-en/train.de', print_fre=100, save_log=True, sentence_model_gen='False', vocab_size=5000) 
07/25/2019 01:45:48 PM: ----- tokenize en first data ----- 
07/25/2019 01:45:48 PM: ['▁David', '▁G', 'al', 'lo', ':', '▁This', '▁is', '▁Bill', '▁La', 'n', 'ge', '.', '▁I', "'", 'm', '▁Da', 've', '▁G', 'al', 'lo', '.'] 
07/25/2019 01:45:48 PM: [2394, 378, 103, 342, 65, 111, 20, 2742, 874, 78, 419, 8, 17, 12, 45, 1485, 68, 378, 103, 342, 8] 
07/25/2019 01:45:48 PM: {} 
07/25/2019 01:46:03 PM: ----- tokenize de first data ----- 
07/25/2019 01:46:03 PM: ['▁David', '▁Gal', 'lo', ':', '▁Das', '▁ist', '▁Bill', '▁Lang', 'e', '.', '▁Ich', '▁bin', '▁Da', 've', '▁Gal', 'lo', '.'] 
07/25/2019 01:46:03 PM: [2945, 3275, 376, 43, 54, 17, 2918, 2984, 12, 8, 40, 192, 204, 911, 3275, 376, 8] 
07/25/2019 01:46:03 PM: {} 
07/25/2019 01:46:19 PM: max length of en word : 16 
07/25/2019 01:46:19 PM: max length of de word : 16 
07/25/2019 01:46:19 PM: max length of en sentence : 846 
07/25/2019 01:46:19 PM: max length of de sentence : 919 
07/25/2019 01:46:19 PM: max sentence length cutoff value 
07/25/2019 01:46:19 PM: 31 
07/25/2019 01:46:19 PM: max sentence length cutoff value 
07/25/2019 01:46:19 PM: 34 
07/25/2019 01:46:20 PM: inputs / outputs shape, first : inputs / second : outputs 
07/25/2019 01:46:20 PM: (148988, 34) 
07/25/2019 01:46:20 PM: (148988, 34) 
07/25/2019 01:47:40 PM: time = 1m, epoch 1, iter = 100, loss = 8.514, 0s per 100 iters 
07/25/2019 01:48:01 PM: time = 1m, epoch 1, iter = 200, loss = 8.508, 0s per 100 iters 
07/25/2019 01:48:24 PM: time = 2m, epoch 1, iter = 300, loss = 8.505, 0s per 100 iters 
07/25/2019 01:48:45 PM: time = 2m, epoch 1, iter = 400, loss = 8.503, 0s per 100 iters 
07/25/2019 01:49:03 PM: time = 2m, epoch 1, iter = 500, loss = 8.500, 0s per 100 iters 
07/25/2019 01:49:20 PM: time = 2m, epoch 1, iter = 600, loss = 8.500, 0s per 100 iters 
07/25/2019 01:49:37 PM: time = 3m, epoch 1, iter = 700, loss = 8.499, 0s per 100 iters 
07/25/2019 01:49:54 PM: time = 3m, epoch 1, iter = 800, loss = 8.499, 0s per 100 iters 
07/25/2019 01:50:12 PM: time = 3m, epoch 1, iter = 900, loss = 8.499, 0s per 100 iters 
07/25/2019 01:50:29 PM: time = 4m, epoch 1, iter = 1000, loss = 8.498, 0s per 100 iters 
07/25/2019 01:50:46 PM: time = 4m, epoch 1, iter = 1100, loss = 8.496, 0s per 100 iters 
07/25/2019 01:51:03 PM: time = 4m, epoch 1, iter = 1200, loss = 8.497, 0s per 100 iters 
07/25/2019 01:51:21 PM: time = 4m, epoch 1, iter = 1300, loss = 8.497, 0s per 100 iters 
07/25/2019 01:51:38 PM: time = 5m, epoch 1, iter = 1400, loss = 8.496, 0s per 100 iters 
07/25/2019 01:51:55 PM: time = 5m, epoch 1, iter = 1500, loss = 8.497, 0s per 100 iters 
07/25/2019 01:52:12 PM: time = 5m, epoch 1, iter = 1600, loss = 8.497, 0s per 100 iters 
07/25/2019 01:52:30 PM: time = 6m, epoch 1, iter = 1700, loss = 8.496, 0s per 100 iters 
07/25/2019 01:52:46 PM: time = 6m, epoch 1, iter = 1800, loss = 8.496, 0s per 100 iters 
